time_fs,T_md_K,T_ww_K,DeltaT_K
3900.0000000000,549.5726826900,572.0965878600,-22.5239051700
3950.0000000000,547.0550697300,562.1305883800,-15.0755186500
4000.0000000000,542.2613960100,539.6178045400,2.6435914700
4050.0000000000,554.9466655800,532.4523096900,22.4943558900
4100.0000000000,546.2061452000,550.8359146600,-4.6297694600
4150.0000000000,553.2942266700,560.8871909200,-7.5929642500
4200.0000000000,549.6966332900,551.4463958200,-1.7497625300
4250.0000000000,553.3106490600,559.1784291600,-5.8677801000
4300.0000000000,590.7974970700,574.3308943400,16.4666027300
4350.0000000000,609.1483669400,575.2210442600,33.9273226800
4400.0000000000,597.5374615500,589.3959995200,8.1414620300
4450.0000000000,607.7060701000,606.1254501100,1.5806199900
4500.0000000000,605.6305966100,620.5061555000,-14.8755588900
4550.0000000000,605.6693183000,600.8751882600,4.7941300400
4600.0000000000,603.9305648900,590.2116996800,13.7188652100
4650.0000000000,604.4736724800,586.2461964900,18.2274759900
4700.0000000000,601.7837761000,601.1158679600,0.6679081400
4750.0000000000,601.7223905200,610.0900539400,-8.3676634200
4800.0000000000,595.8707424400,610.5940915200,-14.7233490800
4850.0000000000,604.5416748500,602.1643577800,2.3773170700
4900.0000000000,597.3136711200,581.7682503600,15.5454207600
4950.0000000000,603.9249376900,589.8786164100,14.0463212800
5000.0000000000,647.9816075300,694.6365283900,-46.6549208600
5050.0000000000,646.5200176500,686.9652818900,-40.4452642400
5100.0000000000,652.6849815900,658.2320787100,-5.5470971200
5150.0000000000,651.8485204100,642.8927233300,8.9557970800
5200.0000000000,652.2909751000,629.7838860000,22.5070891000
5250.0000000000,654.1755101200,641.6329067400,12.5426033800
5300.0000000000,660.6946703000,647.0790971100,13.6155731900
5350.0000000000,641.3783510500,662.3940202200,-21.0156691700
5400.0000000000,652.2655662000,657.7307404200,-5.4651742200
5450.0000000000,659.6573085800,649.9736309500,9.6836776300
5500.0000000000,641.9016866100,643.5291909800,-1.6275043700
5550.0000000000,658.3700556800,640.7122315900,17.6578240900
5600.0000000000,654.9144325500,644.3602787500,10.5541538000
5650.0000000000,648.4176300400,659.0533075500,-10.6356775100
5700.0000000000,658.1222362800,662.8284576200,-4.7062213400
5750.0000000000,688.7333911700,695.2862853500,-6.5528941800
5800.0000000000,702.5361035400,709.9609132600,-7.4248097200
5850.0000000000,707.5963050700,722.6974420700,-15.1011370000
5900.0000000000,701.9801223700,713.7266550500,-11.7465326800
5950.0000000000,709.7196733200,689.3842553600,20.3354179600
6000.0000000000,692.7388567500,683.5410497600,9.1978069900
6050.0000000000,708.5259869800,686.4213097100,22.1046772700
6100.0000000000,705.9173218900,700.5309144300,5.3864074600
6150.0000000000,695.6041958700,720.8102934900,-25.2060976200
6200.0000000000,709.2224423100,714.9966163400,-5.7741740300
6250.0000000000,705.4032778200,716.0782723500,-10.6749945300
6300.0000000000,700.0864919900,703.9897489800,-3.9032569900
6350.0000000000,707.7956547100,695.6693636500,12.1262910600
6400.0000000000,699.9511984000,693.3717292200,6.5794691800
6450.0000000000,692.9144487800,692.0468137900,0.8676349900
6500.0000000000,702.9704675500,681.0647494200,21.9057181300
6550.0000000000,754.4850622900,763.2256060600,-8.7405437700
6600.0000000000,757.6681745800,772.2378233100,-14.5696487300
6650.0000000000,747.8220103600,787.1194651600,-39.2974548000
6700.0000000000,747.5910667400,772.3288919300,-24.7378251900
6750.0000000000,767.6582976000,758.1106591900,9.5476384100
6800.0000000000,747.1779244000,742.8221863100,4.3557380900
6850.0000000000,751.9306700000,722.3335970200,29.5970729800
6900.0000000000,750.0503325100,715.7159438000,34.3343887100
6950.0000000000,751.2282599200,728.0447792300,23.1834806900
7000.0000000000,754.7315347500,751.2190649500,3.5124698000
7050.0000000000,761.0899133100,757.9103900100,3.1795233000
7100.0000000000,751.2590167800,774.3345761600,-23.0755593800
7150.0000000000,747.1342632900,767.5803547400,-20.4460914500
7200.0000000000,757.5818139400,753.9655097700,3.6163041700
7250.0000000000,748.1298050700,746.0187255000,2.1110795700
7300.0000000000,754.6739057700,736.3468463500,18.3270594200
7350.0000000000,749.3091933100,739.8664688100,9.4427245000
7400.0000000000,800.1512774600,750.4020572700,49.7492201900
7450.0000000000,776.9123237700,773.5240794000,3.3882443700
7500.0000000000,788.1529015200,776.1913802300,11.9615212900
7550.0000000000,795.2574733300,786.4006831700,8.8567901600
7600.0000000000,788.0605723500,799.6891004700,-11.6285281200
7650.0000000000,799.3497395500,825.2163885200,-25.8666489700
7700.0000000000,814.6275480500,830.9777605700,-16.3502125200
7750.0000000000,795.0899355100,822.1827724700,-27.0928369600
7800.0000000000,812.5816362000,812.8568016900,-0.2751654900
7850.0000000000,796.8981755300,809.3220496200,-12.4238740900
7900.0000000000,800.4806512600,792.4783825400,8.0022687200
7950.0000000000,814.9805190100,782.7768219500,32.2036970600
8000.0000000000,799.3493161400,782.3330654100,17.0162507300
8050.0000000000,780.8459291100,786.1245998300,-5.2786707200
8100.0000000000,811.4626584400,790.2621124300,21.2005460100
8150.0000000000,811.5097873500,790.5969810500,20.9128063000
8200.0000000000,793.1107289700,788.8382951400,4.2724338300
8250.0000000000,805.5498061400,802.0622214700,3.4875846700
8300.0000000000,809.9022901900,814.0128651400,-4.1105749500
8350.0000000000,797.2970438900,808.0783589600,-10.7813150700
8400.0000000000,850.8235625500,887.7124185100,-36.8888559600
8450.0000000000,855.2602807100,889.8366804100,-34.5763997000
8500.0000000000,842.7791679100,894.3329634700,-51.5537955600
8550.0000000000,850.0439039600,885.9664328800,-35.9225289200
8600.0000000000,856.9533875200,875.3573408300,-18.4039533100
8650.0000000000,851.8536230300,863.4233783500,-11.5697553200
8700.0000000000,850.6546085700,841.5106681100,9.1439404600
8750.0000000000,865.9525158200,825.0964938300,40.8560219900
8800.0000000000,863.6346949100,821.1860885600,42.4486063500
8850.0000000000,858.1637351700,822.9467001900,35.2170349800
8900.0000000000,851.5422113400,833.3469444000,18.1952669400
8950.0000000000,846.4453497900,845.0819335500,1.3634162400
9000.0000000000,854.4619898900,854.7341274800,-0.2721375900
9050.0000000000,829.3984427200,855.9601962100,-26.5617534900
9100.0000000000,859.8565857000,856.0784648700,3.7781208300
9150.0000000000,845.1581084400,853.0768061200,-7.9186976800
9200.0000000000,861.2798948600,858.3431369400,2.9367579200
9250.0000000000,853.6197021100,856.2634057700,-2.6437036600
9300.0000000000,863.8010374300,858.5546686300,5.2463688000
9350.0000000000,843.8145482200,848.6215326300,-4.8069844100
9400.0000000000,860.7392605600,844.9288228500,15.8104377100
9450.0000000000,896.7306187700,925.9630414300,-29.2324226600
9500.0000000000,883.5199275200,923.7450432700,-40.2251157500
9550.0000000000,902.8862559500,916.4460176100,-13.5597616600
9600.0000000000,896.0576915100,915.1024325100,-19.0447410000
9650.0000000000,878.0697666200,902.7085854100,-24.6388187900
9700.0000000000,878.8031856700,895.5282904000,-16.7251047300
9750.0000000000,895.8465668500,892.8825138400,2.9640530100
9800.0000000000,895.1936525900,881.3037071400,13.8899454500
9850.0000000000,897.8050515800,877.1393284800,20.6657231000
9900.0000000000,915.4086467800,885.4424287200,29.9662180600
9950.0000000000,899.7517765400,887.6269611200,12.1248154200
10000.0000000000,885.6871327000,891.7369795700,-6.0498468700
10050.0000000000,924.3470334300,906.4604856900,17.8865477400
10100.0000000000,899.5719574500,902.9026287700,-3.3306713200
10150.0000000000,878.7193064100,911.6048360000,-32.8855295900
10200.0000000000,906.6393946600,911.5861600900,-4.9467654300
10250.0000000000,903.5774423600,907.5191922800,-3.9417499200
10300.0000000000,892.0241835700,912.1912418900,-20.1670583200
10350.0000000000,894.6879151100,903.9762770000,-9.2883618900
10400.0000000000,911.0411366600,905.8692081400,5.1719285200
10450.0000000000,909.6090349700,897.9236808600,11.6853541100
10500.0000000000,908.2587231400,895.5649559800,12.6937671600
10550.0000000000,879.0128035300,895.5370122800,-16.5242087500
10600.0000000000,946.5711713100,950.0491539500,-3.4779826400
10650.0000000000,953.2968790500,949.7505714900,3.5463075600
10700.0000000000,947.3613683700,945.7238320500,1.6375363200
10750.0000000000,955.6532432200,943.7325953500,11.9206478700
10800.0000000000,932.1867603300,942.0480949100,-9.8613345800
10850.0000000000,955.7219551000,926.0742359500,29.6477191500
10900.0000000000,939.5257423100,927.2239536400,12.3017886700
10950.0000000000,941.9052950600,927.6513914800,14.2539035800
11000.0000000000,967.6753031700,923.3876157000,44.2876874700
11050.0000000000,945.4965943000,913.8003113900,31.6962829100
11100.0000000000,950.9478432100,919.1372866100,31.8105566000
11150.0000000000,949.0211390700,913.8221949800,35.1989440900
11200.0000000000,945.5212812900,928.9144426900,16.6068386000
11250.0000000000,947.9196644000,928.7891153400,19.1305490600
11300.0000000000,955.4867905300,926.7973560900,28.6894344400
11350.0000000000,943.3308874600,933.0756396100,10.2552478500
11400.0000000000,931.7285640000,934.0509747100,-2.3224107100
11450.0000000000,958.9737796200,930.6838909600,28.2898886600
11500.0000000000,944.9552776600,934.6411561400,10.3141215200
11550.0000000000,966.8940083500,946.9183184000,19.9756899500
11600.0000000000,937.7115147000,952.6861361900,-14.9746214900
11650.0000000000,958.2668743900,951.3624284000,6.9044459900
11700.0000000000,943.3698950600,949.0551533800,-5.6852583200
11750.0000000000,965.5459347700,950.5055675300,15.0403672400
11800.0000000000,973.2057523600,949.7050919600,23.5006604000
11850.0000000000,963.6759771800,953.1151499900,10.5608271900
11900.0000000000,996.5020067300,968.2891051000,28.2129016300
11950.0000000000,983.6703999300,970.9140892900,12.7563106400
12000.0000000000,1014.0194275700,971.3962340400,42.6231935300
12050.0000000000,997.6591579300,967.0560839000,30.6030740300
12100.0000000000,1013.7364246800,969.2363393000,44.5000853800
12150.0000000000,982.7787514400,968.2306673900,14.5480840500
12200.0000000000,981.5730481500,965.7397432900,15.8333048600
12250.0000000000,1025.6151758700,969.4909287800,56.1242470900
12300.0000000000,1000.6873469300,972.2829269300,28.4044200000
12350.0000000000,1021.8021273300,974.9744280400,46.8276992900
12400.0000000000,975.8521990700,973.2142089000,2.6379901700
12450.0000000000,995.8866865200,977.9105414700,17.9761450500
12500.0000000000,1002.4313060500,984.3887953000,18.0425107500
12550.0000000000,1011.1198576100,992.4936332900,18.6262243200
12600.0000000000,998.3740848500,988.4813545500,9.8927303000
12650.0000000000,1015.8963987300,995.3577719000,20.5386268300
12700.0000000000,1010.1475647200,1002.8180213100,7.3295434100
12750.0000000000,984.7790182800,1005.4165968600,-20.6375785800
12800.0000000000,1014.0377566400,1008.1470640800,5.8906925600
12850.0000000000,984.2232885300,1010.1534021500,-25.9301136200
12900.0000000000,989.9056497100,1003.7355067600,-13.8298570500
12950.0000000000,990.0486963500,1005.0754793500,-15.0267830000
13000.0000000000,1025.6775081800,1006.7074372600,18.9700709200
13050.0000000000,1002.4502135300,1006.5685117800,-4.1182982500
13100.0000000000,986.5502493900,1004.7252215100,-18.1749721200
13150.0000000000,1006.2946357000,1003.5407906800,2.7538450200
13200.0000000000,988.6209527800,1007.2033381900,-18.5823854100
13250.0000000000,1038.6759218200,1088.6760545800,-50.0001327600
